,,,
Fixed mmHg,Peaks,Peak cuff,Peak Ampl
95.317,,,
95.338,,,
95.379,,,
95.113,,,
94.498,,,
93.883,,,
93.535,,,
93.596,,,
93.596,,,
93.76,,,
93.801,,,
93.965,,,
94.068,,,
94.17,,,
94.334,,,
94.457,,,
94.6,,,
94.744,,,
94.928,,,
95.133,,,
95.338,,,
95.522,,,
95.789,,,
95.994,,,
96.178,,,
96.424,,,
96.567,,,
96.649,,,
96.793,,,
96.936,,,
97.141,,,
97.408,97.28455556,95.43804762,
97.551,,,
97.633,,,
97.694,,,
97.756,,,
97.879,,,
97.797,,,
97.449,,,
96.834,,,
96.26,,,
96.055,,,
96.137,,,
96.219,,,
96.301,,,
96.465,,,
96.567,,,
96.649,,,
96.772,,,
96.793,,,
96.936,,,
97.08,,,
97.182,,,
97.367,,,
97.551,,,
97.776,,,
97.94,,,
98.186,,,
98.432,,,
98.576,,,
98.74,,,
98.904,,,
99.047,,,
99.272,,,
99.498,,,
99.785,99.68011111,97.98818627,
99.99,,,
100.051,,,
100.174,,,
100.4,,,
100.297,,,
100.01,,,
99.498,,,
99.006,,,
98.637,,,
98.617,,,
98.719,,,
98.801,,,
98.965,,,
99.088,,,
99.129,,,
99.272,,,
99.313,,,
99.395,,,
99.518,,,
99.559,,,
99.682,,,
99.785,,,
99.867,,,
100.031,,,
100.236,,,
100.523,,,
100.728,,,
100.892,,,
101.076,,,
101.179,,,
101.465,,,
101.67,,,
101.957,,,
102.285,102.1052222,100.5152418,
102.408,,,
102.531,,,
102.654,,,
102.798,,,
102.818,,,
102.511,,,
101.916,,,
101.404,,,
101.138,,,
101.117,,,
101.26,,,
101.301,,,
101.424,,,
101.465,,,
101.588,,,
101.711,,,
101.834,,,
101.916,,,
101.957,,,
102.039,,,
102.142,,,
102.285,,,
102.367,,,
102.47,,,
102.572,,,
102.777,,,
102.962,,,
103.187,,,
103.392,,,
103.638,,,
103.823,,,
104.048,,,
104.294,,,
104.622,,,
104.889,,,
105.135,104.9662222,103.2641556,
105.258,,,
105.381,,,
105.504,,,
105.565,,,
105.36,,,
104.909,,,
104.376,,,
104.007,,,
103.925,,,
103.987,,,
104.089,,,
104.192,,,
104.253,,,
104.356,,,
104.479,,,
104.54,,,
104.684,,,
104.745,,,
104.889,,,
104.991,,,
105.073,,,
105.176,,,
105.278,,,
105.401,,,
