,,,
Fixed mmHg,Peeks,Peak cuff,Peak Ampl
38.857,,,
38.919,,,
38.939,,,
39.022,,,
39.022,,,
39.001,,,
39.001,,,
39.042,,,
39.083,,,
39.083,,,
39.104,,,
39.125,,,
39.125,,,
39.145,,,
39.166,,,
39.186,,,
39.186,,,
39.248,,,
39.248,,,
39.248,,,
39.248,,,
39.331,,,
39.269,,,
39.331,,,
39.331,,,
39.31,,,
39.31,,,
39.331,,,
39.372,,,
39.413,,,
39.413,,,
39.434,,,
39.392,,,
39.454,,,
39.434,,,
39.454,,,
39.536,,,
39.536,,,
39.495,,,
39.516,,,
39.557,39.54533333,39.5123933,
39.536,,,
39.598,,,
39.536,,,
39.598,,,
39.598,,,
39.619,,,
39.619,,,
39.66,,,
39.598,,,
39.619,,,
39.681,,,
39.681,,,
39.681,,,
39.722,,,
39.722,,,
39.742,,,
39.742,,,
39.742,39.75377778,39.74076812,
39.763,,,
39.763,,,
39.784,,,
39.804,,,
39.845,,,
39.825,,,
39.825,,,
39.866,,,
39.825,,,
39.845,,,
39.866,,,
39.907,,,
39.887,,,
39.907,,,
39.887,,,
39.928,,,
39.907,,,
39.969,,,
39.928,,,
40.01,,,
40.01,,,
40.072,,,
40.072,,,
40.072,,,
40.134,40.09022222,39.86722642,
40.113,,,
40.113,,,
40.113,,,
40.113,,,
40.195,,,
40.154,,,
40.113,,,
40.154,,,
40.154,,,
40.175,,,
40.195,,,
40.195,,,
40.154,,,
40.154,,,
40.113,,,
40.134,,,
40.216,,,
40.195,,,
40.195,,,
40.216,,,
40.195,,,
40.216,,,
40.237,,,
40.154,,,
40.134,,,
40.154,,,
40.134,,,
40.113,,,
40.051,,,
40.031,,,
39.989,,,
39.969,,,
39.907,,,
39.825,,,
39.763,,,
39.784,,,
39.742,,,
39.804,,,
39.784,,,
39.784,,,
39.825,,,
39.804,,,
39.825,,,
39.845,,,
39.866,,,
39.866,,,
39.887,,,
39.866,,,
39.969,,,
40.031,,,
39.989,,,
40.031,,,
39.989,,,
39.989,,,
40.031,,,
40.051,,,
40.113,,,
40.092,,,
40.134,,,
40.113,,,
40.154,,,
40.154,,,
40.134,,,
40.216,,,
40.195,,,
40.195,,,
40.195,,,
40.278,,,
40.237,,,
40.298,,,
40.298,,,
40.298,,,
40.319,,,
40.319,,,
40.381,,,
40.36,,,
40.36,,,
40.381,,,
40.422,,,
40.442,,,
40.504,,,
40.463,,,
40.484,,,
40.504,,,
40.504,,,
40.484,,,
40.566,,,
40.545,,,
40.587,,,
40.587,,,
40.648,,,
40.689,,,
40.628,,,
40.628,,,
40.689,,,
40.71,,,
40.772,,,
40.71,,,
40.772,,,
40.772,,,
40.813,,,
40.834,,,
40.813,,,
40.813,,,
40.895,,,
40.895,,,
40.916,,,
40.937,,,
40.916,,,
40.937,,,
40.978,,,
40.957,,,
41.019,,,
41.019,,,
41.06,,,
41.122,,,
41.122,,,
41.184,,,
41.163,,,
41.225,,,
41.204,,,
41.245,,,
41.245,,,
41.266,,,
41.307,,,
41.266,,,
41.307,,,
41.369,,,
41.266,,,
41.328,,,
41.348,,,
41.39,,,
41.41,,,
41.431,,,
41.451,,,
41.41,,,
41.451,,,
