,,,
Fixed mmhg,Peaks,Peak cuff ,Peak Ampl
63.969,,,
63.948,,,
63.969,,,
63.969,,,
63.969,,,
64.01,,,
64.031,,,
64.031,,,
63.99,,,
64.01,,,
64.051,,,
64.072,,,
64.051,,,
64.072,,,
64.113,,,
64.072,,,
64.154,,,
64.154,,,
64.134,,,
64.134,,,
64.154,,,
64.175,,,
64.175,,,
64.196,,,
64.196,,,
64.196,,,
64.257,,,
64.257,,,
64.278,,,
64.257,,,
64.278,,,
64.299,,,
64.34,,,
64.34,,,
64.34,,,
64.361,64.36744444,64.09691152,
64.381,,,
64.422,,,
64.443,,,
64.381,,,
64.422,,,
64.484,,,
64.443,,,
64.464,,,
64.422,,,
64.422,,,
64.484,,,
64.422,,,
64.422,,,
64.443,,,
64.422,,,
64.361,,,
64.361,,,
64.34,,,
64.34,,,
64.34,,,
64.278,,,
64.257,,,
64.216,,,
64.237,,,
64.216,,,
64.154,,,
64.134,,,
64.175,,,
64.113,,,
64.093,,,
64.072,,,
64.031,,,
63.948,,,
63.866,,,
63.845,,,
63.742,,,
63.722,,,
63.66,,,
63.618,,,
63.598,,,
63.598,,,
63.618,,,
63.598,,,
63.701,,,
63.722,,,
63.722,,,
63.742,,,
63.722,,,
63.804,,,
63.783,,,
63.825,,,
63.804,,,
63.886,,,
63.866,,,
63.845,,,
63.907,,,
63.886,,,
63.886,,,
63.928,,,
63.907,,,
63.99,,,
64.01,,,
64.031,,,
64.031,,,
64.072,,,
64.072,64.06755556,64.02456597,
64.093,,,
64.072,,,
64.093,,,
64.134,,,
64.113,,,
64.134,,,
64.175,,,
64.134,,,
64.175,,,
64.175,,,
64.196,,,
64.175,,,
64.237,,,
64.257,,,
64.278,,,
64.278,,,
64.257,,,
64.299,,,
64.34,,,
64.381,,,
64.319,,,
64.34,,,
64.361,,,
64.402,,,
64.464,64.40177778,64.40841975,
64.422,,,
64.422,,,
64.422,,,
64.464,,,
64.464,,,
64.525,,,
64.464,,,
64.546,,,
64.546,,,
64.505,,,
64.587,,,
64.608,,,
64.587,,,
64.587,,,
64.628,,,
64.69,,,
64.67,,,
64.69,,,
64.67,,,
64.711,,,
64.711,,,
64.752,64.73833333,64.74440404,
64.773,,,
64.793,,,
64.752,,,
64.793,64.79788889,64.79812121,
64.814,,,
64.876,,,
64.793,,,
64.835,,,
64.876,,,
64.855,,,
64.917,,,
64.876,,,
64.917,,,
64.917,,,
64.938,,,
64.958,,,
64.958,,,
65,,,
64.979,,,
64.979,,,
65.02,,,
64.979,,,
65,,,
65.041,,,
65.02,,,
